"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C10H11N3O3S/c1-6-4-7(16-8(6)9(14)12-11)5-13-2-3-17-10(13)15/h2-4H,5,11H2,1H3,(H,12,14)",1,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,3,0,2,0,0,1,1,1,0,0,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,2,3,0,0,3,0,2,1,3,2,2,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,3,2,1,10,6,0,0,0,0,3,0,6,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,0,0,2,0,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-2-13-9(15)11-12-10(13)17-6-7(14)8-4-3-5-16-8/h3-5H,2,6H2,1H3,(H,11,15)",1,0,3,0,0,0,0,1,4,0,2,2,0,0,2,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,0,0,9,0,0,4,3,5,0,0,0,1,2,0,0,0,1,0,1,2,2,1,0,2,1,0,0,3,0,0,3,3,1,2,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,3,2,1,10,5,0,0,0,0,4,0,12,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,10,0,0,2,0,0,0,0,0,0,5,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-15-10(14)12-3-5-8-7(12)9(16-5)13-4-11-2-6(13)17-8/h2,4-5,7-9H,3H2,1H3",1,0,6,0,0,0,0,1,4,0,2,0,0,0,1,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,4,0,0,0,0,0,0,0,5,3,13,0,0,0,2,2,0,0,0,0,1,0,1,2,0,0,3,2,0,0,3,0,0,3,3,1,0,1,0,0,0,1,3,1,1,0,2,0,0,0,0,0,3,0,1,5,3,0,0,0,0,5,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,3,2,1,0,0,2,0,8,6,0,0,0
"InChI=1S/C10H11N3O3S/c1-6(10(14)15)11-5-8-12-13-9(16-8)7-3-2-4-17-7/h2-4,6,11H,5H2,1H3,(H,14,15)",1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,0,0,0,0,3,4,3,8,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,5,0,0,3,3,1,2,3,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,3,0,1,10,2,0,0,0,0,4,0,6,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,2,0,0,0,0,0,1,3,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-2-15-9(14)8-4-3-7(16-8)5-17-10-11-6-12-13-10/h3-4,6H,2,5H2,1H3,(H,11,12,13)",1,0,3,0,0,0,0,1,4,0,2,2,0,0,2,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,4,3,3,0,0,0,1,2,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,3,3,1,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,3,3,0,1,10,4,0,0,0,0,4,0,12,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,2,0,0,0,0,0,0,4,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-5-8(9(14)15)3-7(16-5)4-11-10-13-12-6(2)17-10/h3H,4H2,1-2H3,(H,11,13)(H,14,15)",1,0,3,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,1,1,1,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,4,3,6,1,2,2,1,2,0,0,0,0,0,1,1,1,2,0,0,1,0,0,3,0,1,2,3,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,3,0,1,10,4,0,0,0,0,4,0,6,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,2,0,0,0,0,0,0,4,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-6(17-10-11-5-12-13-10)7-3-4-8(16-7)9(14)15-2/h3-6H,1-2H3,(H,11,12,13)",1,0,3,0,0,0,0,1,4,0,2,2,0,0,2,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,3,3,0,0,0,1,2,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,3,3,1,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,10,4,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,2,0,0,0,0,0,0,4,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-6-5-17-10(15)13(6)4-7-2-3-16-8(7)9(14)12-11/h2-3,5H,4,11H2,1H3,(H,12,14)",1,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1,1,1,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,0,0,0,0,3,3,3,7,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,3,0,1,1,3,1,2,1,0,0,0,1,2,1,0,0,2,0,0,1,0,0,0,2,1,10,6,0,0,0,0,3,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,0,0,2,0,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c11-13-9(15)7(14)4-6-5-17-10(12-6)8-2-1-3-16-8/h1-3,5,7,14H,4,11H2,(H,13,15)",1,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,0,0,0,0,0,3,3,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,3,1,1,3,0,0,2,0,0,0,2,1,1,0,0,2,0,0,1,0,0,3,0,1,10,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,10,0,0,2,0,0,0,0,0,1,4,0,0,0,0
"InChI=1S/C10H11N3O3S/c11-5-3-4-17-8(5)10(16)12-6-1-2-7(14)13-9(6)15/h3-4,6H,1-2,11H2,(H,12,16)(H,13,14,15)",1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,3,3,9,0,0,9,0,2,3,7,2,2,4,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,6,1,1,3,1,0,2,0,0,0,0,3,3,0,0,1,0,0,0,1,0,3,4,0,5,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,0,0,1,1,0,0,0,1,0,15,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-12-8(15)3-2-6(9(12)16)13-5-4-7(14)11-10(13)17/h4-6H,2-3H2,1H3,(H,11,14,17)",1,1,4,0,0,0,0,1,1,1,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1,0,0,9,0,0,9,3,3,3,11,0,0,2,2,4,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,6,0,3,3,2,2,1,0,0,0,0,3,3,0,0,2,0,0,0,1,0,3,6,0,6,4,0,0,0,0,3,0,2,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,12,0,0,0,2,0,0,0,2,1,18,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-5-9(15)12-7(14)4-13(5)10(16)8-6(11)2-3-17-8/h2-3,5H,4,11H2,1H3,(H,12,14,15)",1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5,0,1,2,1,0,0,0,0,0,0,3,3,3,10,1,2,2,2,2,0,0,0,0,0,0,0,2,1,0,3,2,0,0,3,3,1,2,3,2,0,1,0,0,0,0,3,3,0,0,1,0,0,0,1,0,3,4,0,5,3,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,1,1,0,0,0,1,0,11,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-6-5-17-10(15)13(6)3-8-2-7(4-16-8)9(14)12-11/h2,4-5H,3,11H2,1H3,(H,12,14)",1,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1,1,1,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,3,3,3,7,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,3,0,1,1,3,1,2,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,3,2,1,10,6,0,0,0,0,3,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,0,0,2,0,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c11-13-9(14)10-12-7(6-17-10)4-15-5-8-2-1-3-16-8/h1-3,6H,4-5,11H2,(H,13,14)",1,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1,0,1,0,0,1,0,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,3,5,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,3,0,0,0,3,2,1,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,6,3,0,1,10,4,0,0,0,0,3,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,0,0,2,0,0,0,0,0,0,4,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-6-2-12-7(3-11-6)9(14)13-5-17-4-8(13)10(15)16/h2-3,8H,4-5H2,1H3,(H,15,16)",1,1,4,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,3,3,0,8,0,0,0,4,3,11,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,1,3,0,0,3,3,0,3,3,2,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,4,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,1,0,10,0,0,0,0
"InChI=1S/C10H11N3O3S/c11-5-6-3-4-17-10(6)13-9(16)7(12)1-2-8(14)15/h3-4,7H,1-2,12H2,(H,13,16)(H,14,15)",1,0,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,9,3,9,0,0,9,0,1,3,5,1,2,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,3,1,0,3,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,0,0,5,3,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-6-5-17-10(15)13(6)4-8-7(2-3-16-8)9(14)12-11/h2-3,5H,4,11H2,1H3,(H,12,14)",1,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1,1,1,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,0,0,0,0,3,3,3,7,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,2,0,0,3,0,1,1,3,1,2,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,3,2,1,10,6,0,0,0,0,3,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,0,0,2,0,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-2-15-6-8-12-13-10(17-8)11-9(14)7-4-3-5-16-7/h3-5H,2,6H2,1H3,(H,11,13,14)",1,0,3,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,1,1,1,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,3,0,0,0,0,3,4,3,4,1,2,2,1,2,0,0,0,0,0,1,1,1,2,0,1,2,0,0,0,3,1,2,3,1,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0,6,0,0,1,10,4,0,0,0,0,4,0,12,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,2,0,0,0,0,0,0,4,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-13(16)10(15)7-5-12-9(17-7)8-6(14)3-2-4-11-8/h2-4,7,12,16H,5H2,1H3",1,0,3,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,1,0,1,3,0,1,0,2,0,0,0,0,0,2,4,0,0,1,0,0,2,1,5,0,0,2,0,0,5,0,0,0,0,0,3,3,10,1,0,0,2,2,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,0,1,2,3,2,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,1,0,0,0,1,1,11,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-6-13(8(5-17-6)10(15)16)9(14)7-4-11-2-3-12-7/h2-4,6,8H,5H2,1H3,(H,15,16)",1,1,4,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,3,0,0,0,0,0,3,4,3,11,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,1,3,0,0,0,3,0,3,3,2,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,4,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,1,0,10,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-16-9(15)7-5-3-2-4-6(7)8(14)12-13-10(11)17/h2-5H,1H3,(H,12,14)(H3,11,13,17)",1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,3,3,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,2,0,3,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-11-9(14)7-8-5(2-3-17-8)6-4-12(7)10(15)13(6)16/h2-3,6-7,16H,4H2,1H3,(H,11,14)",1,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,1,0,0,1,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,1,3,6,0,0,0,0,0,3,3,14,1,0,0,2,2,0,0,0,1,0,0,1,2,0,1,3,2,0,1,3,3,0,2,3,1,0,2,0,0,0,0,3,1,0,0,1,1,0,1,0,0,0,4,0,5,3,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,2,1,1,0,0,1,0,5,4,0,0,0
"InChI=1S/C10H11N3O3S/c1-5-3-7(6(2)15-5)9-12-13-10(16-9)17-4-8(11)14/h3H,4H2,1-2H3,(H2,11,14)",1,0,3,0,0,0,0,1,4,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,3,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,0,0,3,1,2,3,0,0,1,0,0,0,2,3,2,0,0,1,0,0,0,1,0,3,0,2,10,1,0,0,0,1,4,0,6,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,2,0,0,0,0,0,1,3,0,0,0,0
"InChI=1S/C10H11N3O3S/c11-9(17)6-1-3-7(4-2-6)16-5-8(14)13-10(12)15/h1-4H,5H2,(H2,11,17)(H3,12,13,14,15)",1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,6,0,0,0,0,0,0,3,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,3,2,0,3,0,2,3,0,0,0,1,3,1,0,0,1,0,0,1,1,3,3,2,0,6,6,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,1,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-17-10(11)13-12-5-6-3-2-4-7(8(6)14)9(15)16/h2-5,12H,1H3,(H2,11,13)(H,15,16)",1,0,1,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,4,1,1,0,0,0,3,6,0,0,0,0,2,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,3,4,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-14-7-4-3-6(5-8(7)15-2)16-10-13-12-9(11)17-10/h3-5H,1-2H3,(H2,11,12)",1,1,2,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,3,3,3,1,2,2,1,2,0,0,0,0,0,1,1,1,2,0,1,1,0,0,0,0,2,2,3,0,8,3,0,0,0,3,1,0,0,0,2,0,0,1,1,0,0,8,0,11,7,0,0,0,1,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,1,0,0,0,0,0,7,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-16-7-4-2-6(3-5-7)8(14)12-10(17)13-9(11)15/h2-5H,1H3,(H4,11,12,13,14,15,17)",1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0,3,3,2,0,0,1,0,0,0,0,1,0,0,2,0,1,0,3,0,0,0,0,0,2,0,3,0,2,3,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,2,0,6,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C10H11N3O3S/c14-10(7-1-2-8(17-7)13(15)16)12-9-5-3-11-4-6(5)9/h1-2,5-6,9,11H,3-4H2,(H,12,14)",1,0,5,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,3,0,2,0,0,2,0,0,0,0,2,1,2,6,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,6,10,0,8,8,0,0,2,3,11,2,2,4,3,2,0,0,0,0,0,0,0,0,2,2,1,0,2,0,6,0,2,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,2,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,1,0,0,0,1,0,16,2,0,0,0
"InChI=1S/C10H11N3O3S/c1-11-8(14)4-5-13-10(15)16-9(12-13)7-3-2-6-17-7/h2-3,6H,4-5H2,1H3,(H,11,14)",1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,1,0,0,3,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,3,0,9,0,0,9,3,4,3,10,1,0,0,1,2,0,0,0,0,1,1,0,0,2,0,4,3,0,0,3,9,0,2,3,1,2,1,0,0,0,0,4,2,1,0,2,0,0,0,0,0,3,2,1,10,3,0,0,0,0,4,0,12,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,2,0,0,0,0,0,1,4,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-6-11-7(5-17-6)10-13-12-8(16-10)3-2-4-9(14)15/h5H,2-4H2,1H3,(H,14,15)",1,0,4,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,18,0,0,18,0,5,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,3,0,0,0,3,0,3,3,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,9,0,1,10,0,0,0,0,0,5,0,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,10,0,0,2,0,0,0,0,0,1,1,0,0,0,0
"InChI=1S/C10H11N3O3S/c14-9(15)4-2-1-3-8-12-13-10(16-8)7-5-17-6-11-7/h5-6H,1-4H2,(H,14,15)",1,0,4,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,27,9,0,27,0,5,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,3,0,0,0,3,0,3,3,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,9,0,1,10,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,10,0,0,2,0,0,0,0,0,1,1,0,0,0,0
"InChI=1S/C10H11N3O3S/c1-3-7-6-11-9(14)12-8(7)13-10(15)16-4-5-17-2/h1,6-7H,4-5H2,2H3,(H,12,13,14,15)",1,0,4,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,0,0,1,3,3,3,9,0,0,9,3,2,3,4,3,0,2,0,0,0,1,0,1,1,0,2,0,3,0,4,0,0,0,0,0,0,2,3,1,0,2,0,0,0,0,4,0,1,0,3,0,0,0,0,3,3,2,0,0,0,0,0,0,0,2,0,12,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,1,0,4,0,0,0,0
